iter	Logloss
0	0.6375450611
1	0.5921689859
2	0.5480870556
3	0.5138183779
4	0.4798427583
5	0.4489452491
6	0.4235758433
7	0.3961425446
8	0.3752293527
9	0.3564380604
10	0.3394081779
11	0.3255591244
12	0.3116357976
13	0.2984060809
14	0.2876235359
15	0.2766494189
16	0.2680280073
17	0.2604860719
18	0.2529046661
19	0.2450718656
20	0.2361009406
21	0.2280298401
22	0.2223914484
23	0.217376511
24	0.212326354
25	0.2061407609
26	0.2014070175
27	0.1958678629
28	0.1902010302
29	0.1870353424
30	0.1833971431
31	0.1815450906
32	0.1774000213
33	0.1726171136
34	0.1680276221
35	0.1659501035
36	0.1630997278
37	0.1604150657
38	0.157697548
39	0.1558661642
40	0.1541859418
41	0.1516787528
42	0.1492360092
43	0.14762697
44	0.1457371462
45	0.1436513026
46	0.1412815495
47	0.1392048615
48	0.1369683065
49	0.1347270189
50	0.1335834998
51	0.1315116308
52	0.1294929563
53	0.1274848236
54	0.1253001653
55	0.1239167677
56	0.1223822466
57	0.120588634
58	0.1186529796
59	0.116252537
60	0.114767228
61	0.1130105909
62	0.1121929017
63	0.1108222046
64	0.1089153638
65	0.1079732665
66	0.1072533178
67	0.1059852086
68	0.1047344631
69	0.1038517162
70	0.1025519358
71	0.1019604697
72	0.1000430787
73	0.09877279349
74	0.09802436752
75	0.09708092464
76	0.09644016105
77	0.0954125125
78	0.09448920416
79	0.09375986228
80	0.09251013115
81	0.09136449057
82	0.09046462127
83	0.08958044056
84	0.08828188802
85	0.08791267879
86	0.08681384064
87	0.0857165465
88	0.08484454337
89	0.08384348347
90	0.08305063626
91	0.08256617148
92	0.08142994153
93	0.08091050267
94	0.07993173952
95	0.07941268781
96	0.07864775726
97	0.07802075496
98	0.07703649383
99	0.07628997285
100	0.07535412974
101	0.07480442946
102	0.07446686615
103	0.07326928453
104	0.07276767715
105	0.07201772868
106	0.07121564678
107	0.07092791026
108	0.07041167468
109	0.06954226664
110	0.06892496883
111	0.06865267852
112	0.06801079251
113	0.06775631981
114	0.06730358319
115	0.06631755179
116	0.06576413007
117	0.0651008364
118	0.06432567625
119	0.06361005183
120	0.06320291368
121	0.06287397651
122	0.06228397146
123	0.06177580114
124	0.06094549174
125	0.06037628674
126	0.05986213792
127	0.05887471438
128	0.05853193765
129	0.05839681238
130	0.057908383
131	0.057021696
132	0.0559849899
133	0.05582138592
134	0.05557362325
135	0.05543521707
136	0.05478420992
137	0.05449745829
138	0.05403913881
139	0.05348431136
140	0.05268298611
141	0.05213405278
142	0.05183658576
143	0.05142734691
144	0.0510060248
145	0.05017572062
146	0.0498779485
147	0.04956688539
148	0.04920119439
149	0.0490394
150	0.04875329454
151	0.04848888
152	0.048363301
153	0.04825497664
154	0.04785737783
155	0.04773027256
156	0.04746517486
157	0.04682739315
158	0.04600986249
159	0.04564435122
160	0.04551928344
161	0.04517351394
162	0.04505617627
163	0.04498007823
164	0.04434317343
165	0.04377576642
166	0.04352341662
167	0.0434017948
168	0.0429631492
169	0.04288498032
170	0.04277813361
171	0.04208234445
172	0.04146460583
173	0.04101290975
174	0.04091297644
175	0.04082426579
176	0.04072517481
177	0.04063251987
178	0.04055859313
179	0.040246823
180	0.04001171281
181	0.03991056737
182	0.03967634803
183	0.03930548906
184	0.03907601367
185	0.03839478796
186	0.03828488106
187	0.03819146375
188	0.03798274271
189	0.03790906387
190	0.03786461616
191	0.03749267381
192	0.03732598043
193	0.03720708797
194	0.03711901138
195	0.03697236501
196	0.03689523956
197	0.03682968439
198	0.03664021038
199	0.03607010304
